localidad,YEAR,latitud,longitud,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,ALLSKY_SRF_ALB,CLOUD_AMT,CLRSKY_SFC_PAR_TOT,CLRSKY_SFC_SW_DWN,GWETPROF,GWETROOT,GWETTOP,ONI,PRECTOTCORR,PRECTOTCORR_SUM,PS,QV2M,RH2M,T2M,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TOA_SW_DWN,TS,WD10M,WD2M,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS2M,WS2M_MAX,WS2M_MIN,WS2M_RANGE,BIMESTRE
BARRIOS UNIDOS,2020.0,4.6989,-74.07075,32.144999999999996,7.955,8.265,10.41,16.82,1.165,0.035,2.205,0.16,82.25,11.170000000000002,24.630000000000003,0.61,0.565,0.59,-1.23,3.0250000000000004,92.55,82.27000000000001,12.805,78.16,18.965,14.635,16.8,25.845,12.91,8.495,34.120000000000005,19.16,35.449999999999996,205.4,1.35,4.5600000000000005,0.05,2.01,0.8400000000000001,3.325,0.035,1.57,6.0
BOSA,2020.0,4.58734,-74.21668,31.615000000000002,8.98,7.795,14.524999999999999,19.135,1.29,0.04,2.515,0.15,62.185,11.510000000000002,25.34,0.7050000000000001,0.64,0.655,0.49,2.665,77.94999999999999,82.33500000000001,12.86,78.225,19.060000000000002,14.615,16.835,27.045,9.945,10.46,35.32,19.240000000000002,78.2,78.8,2.2750000000000004,6.65,0.20500000000000002,2.31,1.4300000000000002,4.734999999999999,0.15000000000000002,1.945,1.0
BOSA,2020.0,4.58734,-74.21668,32.68,7.835,8.495000000000001,7.705,16.66,1.095,0.035,2.145,0.13,80.045,11.285,25.11,0.68,0.63,0.655,0.29500000000000004,4.3100000000000005,131.06,82.37,13.595,80.1,19.53,15.530000000000001,17.535,26.7,12.655,9.2,37.355000000000004,19.835,78.15,78.25,1.5499999999999998,4.875,0.12000000000000001,2.2,0.97,3.565,0.060000000000000005,1.72,2.0
BOSA,2020.0,4.58734,-74.21668,32.215,7.845000000000001,8.809999999999999,7.015000000000001,16.035,1.23,0.04,2.3449999999999998,0.165,87.065,11.535,25.165,0.715,0.6799999999999999,0.69,-0.19,7.48,226.71,82.4,13.07,78.96000000000001,19.09,14.925,17.005000000000003,25.645,12.385,9.645,35.495000000000005,19.189999999999998,115.55000000000001,117.05,1.915,5.41,0.07,2.24,1.19,3.83,0.045,1.775,3.0
BOSA,2020.0,4.58734,-74.21668,31.980000000000004,7.904999999999999,8.34,8.41,16.46,1.18,0.04,2.245,0.15500000000000003,85.515,11.54,25.355,0.735,0.69,0.6950000000000001,-0.49,5.265000000000001,163.275,82.36,12.469999999999999,78.045,18.54,14.195,16.365,25.310000000000002,11.465,9.995000000000001,35.88,18.61,124.44999999999999,126.5,1.795,4.765000000000001,0.125,2.13,1.125,3.45,0.060000000000000005,1.6949999999999998,4.0
BOSA,2020.0,4.58734,-74.21668,32.195,8.535,8.64,10.565000000000001,18.02,1.2149999999999999,0.04,2.34,0.155,83.27,12.065000000000001,26.560000000000002,0.6799999999999999,0.625,0.635,-1.03,2.9699999999999998,90.0,82.315,12.155000000000001,74.2,19.060000000000002,13.79,16.424999999999997,26.665,11.83,10.725,36.635000000000005,19.314999999999998,120.2,124.65,1.92,4.65,0.05,2.105,1.2,3.375,0.03,1.7349999999999999,5.0
BOSA,2020.0,4.58734,-74.21668,32.144999999999996,7.955,8.265,10.41,16.82,1.165,0.035,2.205,0.16,82.25,11.170000000000002,24.630000000000003,0.61,0.565,0.59,-1.23,3.0250000000000004,92.55,82.27000000000001,12.805,78.16,18.965,14.635,16.8,25.845,12.91,8.495,34.120000000000005,19.16,35.449999999999996,205.4,1.35,4.5600000000000005,0.05,2.01,0.8400000000000001,3.325,0.035,1.57,6.0
CHAPINERO,2020.0,4.6704,-74.04338,31.615000000000002,8.98,7.795,14.524999999999999,19.135,1.29,0.04,2.515,0.15,62.185,11.510000000000002,25.34,0.775,0.765,0.76,0.49,2.0149999999999997,59.16,79.58500000000001,11.865,83.595,16.04,12.865,14.455,22.47,8.82,8.605,35.32,16.32,89.65,94.8,2.31,6.404999999999999,0.14,3.0700000000000003,1.395,4.175000000000001,0.065,2.085,1.0
CHAPINERO,2020.0,4.6704,-74.04338,32.68,7.835,8.495000000000001,7.705,16.66,1.095,0.035,2.145,0.13,80.045,11.285,25.11,0.7949999999999999,0.7849999999999999,0.79,0.29500000000000004,6.105,185.405,79.6,12.42,85.5,16.37,13.594999999999999,14.985,22.740000000000002,10.41,7.87,37.355000000000004,16.72,98.6,102.0,1.9649999999999999,5.645,0.11,3.2249999999999996,1.18,3.705,0.07,2.185,2.0
CHAPINERO,2020.0,4.6704,-74.04338,32.215,7.845000000000001,8.809999999999999,7.015000000000001,16.035,1.23,0.04,2.3449999999999998,0.165,87.065,11.535,25.165,0.925,0.94,0.91,-0.19,12.08,366.95000000000005,79.69,12.25,89.99,15.26,13.365,14.309999999999999,20.604999999999997,10.120000000000001,7.165,35.495000000000005,15.515,104.5,106.5,2.255,5.635,0.055,3.495,1.45,3.685,0.075,2.385,3.0
CHAPINERO,2020.0,4.6704,-74.04338,31.980000000000004,7.904999999999999,8.34,8.41,16.46,1.18,0.04,2.245,0.15500000000000003,85.515,11.54,25.355,0.94,0.95,0.91,-0.49,8.375,259.54,79.63,11.725000000000001,88.985,14.765,12.68,13.72,20.215,9.515,7.265000000000001,35.88,14.895,106.15,108.05,2.0549999999999997,5.135,0.135,3.535,1.33,3.41,0.085,2.415,4.0
CHAPINERO,2020.0,4.6704,-74.04338,32.195,8.535,8.64,10.565000000000001,18.02,1.2149999999999999,0.04,2.34,0.155,83.27,12.065000000000001,26.560000000000002,0.87,0.87,0.8500000000000001,-1.03,4.1899999999999995,126.405,79.57,11.594999999999999,84.68,15.415,12.469999999999999,13.945,22.555,9.66,8.32,36.635000000000005,15.485,109.44999999999999,112.05,1.75,5.08,0.055,3.255,1.125,3.4050000000000002,0.005,2.21,5.0
CHAPINERO,2020.0,4.6704,-74.04338,32.144999999999996,7.955,8.265,10.41,16.82,1.165,0.035,2.205,0.16,82.25,11.170000000000002,24.630000000000003,0.745,0.725,0.73,-1.23,2.485,76.18,79.47,12.46,85.61500000000001,16.439999999999998,13.620000000000001,15.025,22.715,10.989999999999998,7.73,34.120000000000005,16.66,112.2,114.8,1.505,4.355,0.06,2.4450000000000003,0.87,2.7249999999999996,0.02,1.56,6.0
CIUDAD BOLIVAR,2020.0,4.53904,-74.14732,31.615000000000002,8.98,7.795,14.524999999999999,19.135,1.29,0.04,2.515,0.15,62.185,11.510000000000002,25.34,0.7050000000000001,0.64,0.655,0.49,2.665,77.94999999999999,82.33500000000001,12.86,78.225,19.060000000000002,14.615,16.835,27.045,9.945,10.46,35.32,19.240000000000002,78.2,78.8,2.2750000000000004,6.65,0.20500000000000002,2.31,1.4300000000000002,4.734999999999999,0.15000000000000002,1.945,1.0
CIUDAD BOLIVAR,2020.0,4.53904,-74.14732,32.68,7.835,8.495000000000001,7.705,16.66,1.095,0.035,2.145,0.13,80.045,11.285,25.11,0.68,0.63,0.655,0.29500000000000004,4.3100000000000005,131.06,82.37,13.595,80.1,19.53,15.530000000000001,17.535,26.7,12.655,9.2,37.355000000000004,19.835,78.15,78.25,1.5499999999999998,4.875,0.12000000000000001,2.2,0.97,3.565,0.060000000000000005,1.72,2.0
CIUDAD BOLIVAR,2020.0,4.53904,-74.14732,32.215,7.845000000000001,8.809999999999999,7.015000000000001,16.035,1.23,0.04,2.3449999999999998,0.165,87.065,11.535,25.165,0.715,0.6799999999999999,0.69,-0.19,7.48,226.71,82.4,13.07,78.96000000000001,19.09,14.925,17.005000000000003,25.645,12.385,9.645,35.495000000000005,19.189999999999998,115.55000000000001,117.05,1.915,5.41,0.07,2.24,1.19,3.83,0.045,1.775,3.0
CIUDAD BOLIVAR,2020.0,4.53904,-74.14732,31.980000000000004,7.904999999999999,8.34,8.41,16.46,1.18,0.04,2.245,0.15500000000000003,85.515,11.54,25.355,0.735,0.69,0.6950000000000001,-0.49,5.265000000000001,163.275,82.36,12.469999999999999,78.045,18.54,14.195,16.365,25.310000000000002,11.465,9.995000000000001,35.88,18.61,124.44999999999999,126.5,1.795,4.765000000000001,0.125,2.13,1.125,3.45,0.060000000000000005,1.6949999999999998,4.0
CIUDAD BOLIVAR,2020.0,4.53904,-74.14732,32.195,8.535,8.64,10.565000000000001,18.02,1.2149999999999999,0.04,2.34,0.155,83.27,12.065000000000001,26.560000000000002,0.6799999999999999,0.625,0.635,-1.03,2.9699999999999998,90.0,82.315,12.155000000000001,74.2,19.060000000000002,13.79,16.424999999999997,26.665,11.83,10.725,36.635000000000005,19.314999999999998,120.2,124.65,1.92,4.65,0.05,2.105,1.2,3.375,0.03,1.7349999999999999,5.0
CIUDAD BOLIVAR,2020.0,4.53904,-74.14732,32.144999999999996,7.955,8.265,10.41,16.82,1.165,0.035,2.205,0.16,82.25,11.170000000000002,24.630000000000003,0.61,0.565,0.59,-1.23,3.0250000000000004,92.55,82.27000000000001,12.805,78.16,18.965,14.635,16.8,25.845,12.91,8.495,34.120000000000005,19.16,35.449999999999996,205.4,1.35,4.5600000000000005,0.05,2.01,0.8400000000000001,3.325,0.035,1.57,6.0
ENGATIVA,2020.0,4.70179,-74.10088,31.615000000000002,8.98,7.795,14.524999999999999,19.135,1.29,0.04,2.515,0.15,62.185,11.510000000000002,25.34,0.7050000000000001,0.64,0.655,0.49,2.665,77.94999999999999,82.33500000000001,12.86,78.225,19.060000000000002,14.615,16.835,27.045,9.945,10.46,35.32,19.240000000000002,78.2,78.8,2.2750000000000004,6.65,0.20500000000000002,2.31,1.4300000000000002,4.734999999999999,0.15000000000000002,1.945,1.0
ENGATIVA,2020.0,4.70179,-74.10088,32.68,7.835,8.495000000000001,7.705,16.66,1.095,0.035,2.145,0.13,80.045,11.285,25.11,0.68,0.63,0.655,0.29500000000000004,4.3100000000000005,131.06,82.37,13.595,80.1,19.53,15.530000000000001,17.535,26.7,12.655,9.2,37.355000000000004,19.835,78.15,78.25,1.5499999999999998,4.875,0.12000000000000001,2.2,0.97,3.565,0.060000000000000005,1.72,2.0
ENGATIVA,2020.0,4.70179,-74.10088,32.215,7.845000000000001,8.809999999999999,7.015000000000001,16.035,1.23,0.04,2.3449999999999998,0.165,87.065,11.535,25.165,0.715,0.6799999999999999,0.69,-0.19,7.48,226.71,82.4,13.07,78.96000000000001,19.09,14.925,17.005000000000003,25.645,12.385,9.645,35.495000000000005,19.189999999999998,115.55000000000001,117.05,1.915,5.41,0.07,2.24,1.19,3.83,0.045,1.775,3.0
ENGATIVA,2020.0,4.70179,-74.10088,31.980000000000004,7.904999999999999,8.34,8.41,16.46,1.18,0.04,2.245,0.15500000000000003,85.515,11.54,25.355,0.735,0.69,0.6950000000000001,-0.49,5.265000000000001,163.275,82.36,12.469999999999999,78.045,18.54,14.195,16.365,25.310000000000002,11.465,9.995000000000001,35.88,18.61,124.44999999999999,126.5,1.795,4.765000000000001,0.125,2.13,1.125,3.45,0.060000000000000005,1.6949999999999998,4.0
ENGATIVA,2020.0,4.70179,-74.10088,32.195,8.535,8.64,10.565000000000001,18.02,1.2149999999999999,0.04,2.34,0.155,83.27,12.065000000000001,26.560000000000002,0.6799999999999999,0.625,0.635,-1.03,2.9699999999999998,90.0,82.315,12.155000000000001,74.2,19.060000000000002,13.79,16.424999999999997,26.665,11.83,10.725,36.635000000000005,19.314999999999998,120.2,124.65,1.92,4.65,0.05,2.105,1.2,3.375,0.03,1.7349999999999999,5.0
ENGATIVA,2020.0,4.70179,-74.10088,32.144999999999996,7.955,8.265,10.41,16.82,1.165,0.035,2.205,0.16,82.25,11.170000000000002,24.630000000000003,0.61,0.565,0.59,-1.23,3.0250000000000004,92.55,82.27000000000001,12.805,78.16,18.965,14.635,16.8,25.845,12.91,8.495,34.120000000000005,19.16,35.449999999999996,205.4,1.35,4.5600000000000005,0.05,2.01,0.8400000000000001,3.325,0.035,1.57,6.0
FONTIBON,2020.0,4.71049,-74.145,31.615000000000002,8.98,7.795,14.524999999999999,19.135,1.29,0.04,2.515,0.15,62.185,11.510000000000002,25.34,0.7050000000000001,0.64,0.655,0.49,2.665,77.94999999999999,82.33500000000001,12.86,78.225,19.060000000000002,14.615,16.835,27.045,9.945,10.46,35.32,19.240000000000002,78.2,78.8,2.2750000000000004,6.65,0.20500000000000002,2.31,1.4300000000000002,4.734999999999999,0.15000000000000002,1.945,1.0
FONTIBON,2020.0,4.71049,-74.145,32.68,7.835,8.495000000000001,7.705,16.66,1.095,0.035,2.145,0.13,80.045,11.285,25.11,0.68,0.63,0.655,0.29500000000000004,4.3100000000000005,131.06,82.37,13.595,80.1,19.53,15.530000000000001,17.535,26.7,12.655,9.2,37.355000000000004,19.835,78.15,78.25,1.5499999999999998,4.875,0.12000000000000001,2.2,0.97,3.565,0.060000000000000005,1.72,2.0
FONTIBON,2020.0,4.71049,-74.145,32.215,7.845000000000001,8.809999999999999,7.015000000000001,16.035,1.23,0.04,2.3449999999999998,0.165,87.065,11.535,25.165,0.715,0.6799999999999999,0.69,-0.19,7.48,226.71,82.4,13.07,78.96000000000001,19.09,14.925,17.005000000000003,25.645,12.385,9.645,35.495000000000005,19.189999999999998,115.55000000000001,117.05,1.915,5.41,0.07,2.24,1.19,3.83,0.045,1.775,3.0
FONTIBON,2020.0,4.71049,-74.145,31.980000000000004,7.904999999999999,8.34,8.41,16.46,1.18,0.04,2.245,0.15500000000000003,85.515,11.54,25.355,0.735,0.69,0.6950000000000001,-0.49,5.265000000000001,163.275,82.36,12.469999999999999,78.045,18.54,14.195,16.365,25.310000000000002,11.465,9.995000000000001,35.88,18.61,124.44999999999999,126.5,1.795,4.765000000000001,0.125,2.13,1.125,3.45,0.060000000000000005,1.6949999999999998,4.0
FONTIBON,2020.0,4.71049,-74.145,32.195,8.535,8.64,10.565000000000001,18.02,1.2149999999999999,0.04,2.34,0.155,83.27,12.065000000000001,26.560000000000002,0.6799999999999999,0.625,0.635,-1.03,2.9699999999999998,90.0,82.315,12.155000000000001,74.2,19.060000000000002,13.79,16.424999999999997,26.665,11.83,10.725,36.635000000000005,19.314999999999998,120.2,124.65,1.92,4.65,0.05,2.105,1.2,3.375,0.03,1.7349999999999999,5.0
FONTIBON,2020.0,4.71049,-74.145,32.144999999999996,7.955,8.265,10.41,16.82,1.165,0.035,2.205,0.16,82.25,11.170000000000002,24.630000000000003,0.61,0.565,0.59,-1.23,3.0250000000000004,92.55,82.27000000000001,12.805,78.16,18.965,14.635,16.8,25.845,12.91,8.495,34.120000000000005,19.16,35.449999999999996,205.4,1.35,4.5600000000000005,0.05,2.01,0.8400000000000001,3.325,0.035,1.57,6.0
KENNEDY,2020.0,4.62598,-74.1004,31.615000000000002,8.98,7.795,14.524999999999999,19.135,1.29,0.04,2.515,0.15,62.185,11.510000000000002,25.34,0.7050000000000001,0.64,0.655,0.49,2.665,77.94999999999999,82.33500000000001,12.86,78.225,19.060000000000002,14.615,16.835,27.045,9.945,10.46,35.32,19.240000000000002,78.2,78.8,2.2750000000000004,6.65,0.20500000000000002,2.31,1.4300000000000002,4.734999999999999,0.15000000000000002,1.945,1.0
KENNEDY,2020.0,4.62598,-74.1004,32.68,7.835,8.495000000000001,7.705,16.66,1.095,0.035,2.145,0.13,80.045,11.285,25.11,0.68,0.63,0.655,0.29500000000000004,4.3100000000000005,131.06,82.37,13.595,80.1,19.53,15.530000000000001,17.535,26.7,12.655,9.2,37.355000000000004,19.835,78.15,78.25,1.5499999999999998,4.875,0.12000000000000001,2.2,0.97,3.565,0.060000000000000005,1.72,2.0
KENNEDY,2020.0,4.62598,-74.1004,32.215,7.845000000000001,8.809999999999999,7.015000000000001,16.035,1.23,0.04,2.3449999999999998,0.165,87.065,11.535,25.165,0.715,0.6799999999999999,0.69,-0.19,7.48,226.71,82.4,13.07,78.96000000000001,19.09,14.925,17.005000000000003,25.645,12.385,9.645,35.495000000000005,19.189999999999998,115.55000000000001,117.05,1.915,5.41,0.07,2.24,1.19,3.83,0.045,1.775,3.0
KENNEDY,2020.0,4.62598,-74.1004,31.980000000000004,7.904999999999999,8.34,8.41,16.46,1.18,0.04,2.245,0.15500000000000003,85.515,11.54,25.355,0.735,0.69,0.6950000000000001,-0.49,5.265000000000001,163.275,82.36,12.469999999999999,78.045,18.54,14.195,16.365,25.310000000000002,11.465,9.995000000000001,35.88,18.61,124.44999999999999,126.5,1.795,4.765000000000001,0.125,2.13,1.125,3.45,0.060000000000000005,1.6949999999999998,4.0
KENNEDY,2020.0,4.62598,-74.1004,32.195,8.535,8.64,10.565000000000001,18.02,1.2149999999999999,0.04,2.34,0.155,83.27,12.065000000000001,26.560000000000002,0.6799999999999999,0.625,0.635,-1.03,2.9699999999999998,90.0,82.315,12.155000000000001,74.2,19.060000000000002,13.79,16.424999999999997,26.665,11.83,10.725,36.635000000000005,19.314999999999998,120.2,124.65,1.92,4.65,0.05,2.105,1.2,3.375,0.03,1.7349999999999999,5.0
KENNEDY,2020.0,4.62598,-74.1004,32.144999999999996,7.955,8.265,10.41,16.82,1.165,0.035,2.205,0.16,82.25,11.170000000000002,24.630000000000003,0.61,0.565,0.59,-1.23,3.0250000000000004,92.55,82.27000000000001,12.805,78.16,18.965,14.635,16.8,25.845,12.91,8.495,34.120000000000005,19.16,35.449999999999996,205.4,1.35,4.5600000000000005,0.05,2.01,0.8400000000000001,3.325,0.035,1.57,6.0
LA CANDELARIA,2020.0,4.59806,-74.07606,31.615000000000002,8.98,7.795,14.524999999999999,19.135,1.29,0.04,2.515,0.15,62.185,11.510000000000002,25.34,0.7050000000000001,0.64,0.655,0.49,2.665,77.94999999999999,82.33500000000001,12.86,78.225,19.060000000000002,14.615,16.835,27.045,9.945,10.46,35.32,19.240000000000002,78.2,78.8,2.2750000000000004,6.65,0.20500000000000002,2.31,1.4300000000000002,4.734999999999999,0.15000000000000002,1.945,1.0
LA CANDELARIA,2020.0,4.59806,-74.07606,32.68,7.835,8.495000000000001,7.705,16.66,1.095,0.035,2.145,0.13,80.045,11.285,25.11,0.68,0.63,0.655,0.29500000000000004,4.3100000000000005,131.06,82.37,13.595,80.1,19.53,15.530000000000001,17.535,26.7,12.655,9.2,37.355000000000004,19.835,78.15,78.25,1.5499999999999998,4.875,0.12000000000000001,2.2,0.97,3.565,0.060000000000000005,1.72,2.0
LA CANDELARIA,2020.0,4.59806,-74.07606,32.215,7.845000000000001,8.809999999999999,7.015000000000001,16.035,1.23,0.04,2.3449999999999998,0.165,87.065,11.535,25.165,0.715,0.6799999999999999,0.69,-0.19,7.48,226.71,82.4,13.07,78.96000000000001,19.09,14.925,17.005000000000003,25.645,12.385,9.645,35.495000000000005,19.189999999999998,115.55000000000001,117.05,1.915,5.41,0.07,2.24,1.19,3.83,0.045,1.775,3.0
LA CANDELARIA,2020.0,4.59806,-74.07606,31.980000000000004,7.904999999999999,8.34,8.41,16.46,1.18,0.04,2.245,0.15500000000000003,85.515,11.54,25.355,0.735,0.69,0.6950000000000001,-0.49,5.265000000000001,163.275,82.36,12.469999999999999,78.045,18.54,14.195,16.365,25.310000000000002,11.465,9.995000000000001,35.88,18.61,124.44999999999999,126.5,1.795,4.765000000000001,0.125,2.13,1.125,3.45,0.060000000000000005,1.6949999999999998,4.0
LA CANDELARIA,2020.0,4.59806,-74.07606,32.195,8.535,8.64,10.565000000000001,18.02,1.2149999999999999,0.04,2.34,0.155,83.27,12.065000000000001,26.560000000000002,0.6799999999999999,0.625,0.635,-1.03,2.9699999999999998,90.0,82.315,12.155000000000001,74.2,19.060000000000002,13.79,16.424999999999997,26.665,11.83,10.725,36.635000000000005,19.314999999999998,120.2,124.65,1.92,4.65,0.05,2.105,1.2,3.375,0.03,1.7349999999999999,5.0
LA CANDELARIA,2020.0,4.59806,-74.07606,32.144999999999996,7.955,8.265,10.41,16.82,1.165,0.035,2.205,0.16,82.25,11.170000000000002,24.630000000000003,0.61,0.565,0.59,-1.23,3.0250000000000004,92.55,82.27000000000001,12.805,78.16,18.965,14.635,16.8,25.845,12.91,8.495,34.120000000000005,19.16,35.449999999999996,205.4,1.35,4.5600000000000005,0.05,2.01,0.8400000000000001,3.325,0.035,1.57,6.0
LOS MARTIRES,2020.0,4.60055,-74.07481,31.615000000000002,8.98,7.795,14.524999999999999,19.135,1.29,0.04,2.515,0.15,62.185,11.510000000000002,25.34,0.7050000000000001,0.64,0.655,0.49,2.665,77.94999999999999,82.33500000000001,12.86,78.225,19.060000000000002,14.615,16.835,27.045,9.945,10.46,35.32,19.240000000000002,78.2,78.8,2.2750000000000004,6.65,0.20500000000000002,2.31,1.4300000000000002,4.734999999999999,0.15000000000000002,1.945,1.0
LOS MARTIRES,2020.0,4.60055,-74.07481,32.68,7.835,8.495000000000001,7.705,16.66,1.095,0.035,2.145,0.13,80.045,11.285,25.11,0.68,0.63,0.655,0.29500000000000004,4.3100000000000005,131.06,82.37,13.595,80.1,19.53,15.530000000000001,17.535,26.7,12.655,9.2,37.355000000000004,19.835,78.15,78.25,1.5499999999999998,4.875,0.12000000000000001,2.2,0.97,3.565,0.060000000000000005,1.72,2.0
